seed,phase,update,revenue,ir_regret,gamma,elapsed_seconds
1,baseline,1,0.9632901549339294,,,0.40029108300041116
1,baseline,1000,2.9642791748046875,,,430.1563472500002
1,baseline,2000,3.0059521198272705,,,826.6722187080004
1,baseline,3000,2.985905170440674,,,1220.5315058329998
1,baseline,4000,3.0209779739379883,,,1599.4138992919998
1,baseline,5000,3.0128157138824463,,,2112.511682417
1,baseline,6000,3.0395169258117676,,,2740.747104833001
1,baseline,7000,3.079803466796875,,,3207.696223500001
1,baseline,8000,3.058312177658081,,,3764.5770651250004
1,baseline,9000,3.017322301864624,,,4206.8381697919995
1,baseline,10000,3.0344364643096924,,,4672.254619375
1,baseline,11000,3.013690710067749,,,5071.558781792
1,baseline,12000,3.0858287811279297,,,5473.080702375
1,baseline,13000,3.080084800720215,,,5887.187895875
1,baseline,14000,3.0615670680999756,,,6278.008573417001
1,baseline,15000,3.01472806930542,,,6660.24286525
1,baseline,16000,3.0266847610473633,,,7092.348618542001
1,baseline,17000,3.062624931335449,,,8180.279850208
1,baseline,18000,3.0630149841308594,,,9338.829688958001
1,baseline,19000,3.053365707397461,,,10550.926461957999
1,baseline,20000,3.0753118991851807,,,11538.364431875001
1,baseline,21000,3.076543092727661,,,12348.350184333001
1,baseline,22000,3.09283709526062,,,13105.023837458
1,baseline,23000,3.0686073303222656,,,14050.144839208002
1,baseline,24000,3.0616133213043213,,,15003.85805975
1,baseline,25000,3.0932955741882324,,,15945.369508125
1,baseline,26000,3.0762648582458496,,,16475.74299425
1,baseline,27000,3.061819553375244,,,16935.99890525
1,baseline,28000,3.0871365070343018,,,17502.068367417
1,baseline,29000,3.0558242797851562,,,18044.615960667
1,baseline,30000,3.0557286739349365,,,18526.068384583
1,baseline,31000,3.0716969966888428,,,18965.770012292
1,baseline,32000,3.080164909362793,,,19382.100264
1,mutual,1,1.1084489822387695,0.0007592804613523185,8.0,0.43888541699925554
1,mutual,1000,3.251006841659546,0.005684785544872284,16.508784828719186,497.4531513749971
1,mutual,2000,3.3945789337158203,0.008042391389608383,20.0,991.932332417
1,mutual,3000,3.394070625305176,0.0060394867323338985,20.0,1386.8392919590005
1,mutual,4000,3.419569492340088,0.003489728318527341,20.0,1892.5613559589983
1,mutual,5000,3.4104018211364746,0.0034219459630548954,20.0,2352.1681127919983
1,mutual,6000,3.5123372077941895,0.00972372479736805,20.0,2911.0367706670004
1,mutual,7000,3.512035846710205,0.006039605941623449,20.0,3353.6540850839992
1,mutual,8000,3.4608869552612305,0.0037704140413552523,20.0,3728.495265709
1,mutual,9000,3.497880458831787,0.004978458397090435,20.0,4103.3908495
1,mutual,10000,3.467264413833618,0.006685469765216112,20.0,4477.857684916999
1,mutual,11000,3.4967081546783447,0.005293725058436394,20.0,4853.008147458997
1,mutual,12000,3.484034538269043,0.006152252200990915,20.0,5238.653684834
1,mutual,13000,3.4928812980651855,0.004009753465652466,20.0,5632.309797667
1,mutual,14000,3.5341320037841797,0.006602196954190731,20.0,6028.698627292
1,mutual,15000,3.519284248352051,0.00571671687066555,20.0,6420.370505124996
1,mutual,16000,3.543212413787842,0.00728808157145977,20.0,6816.375588999999
1,post,1,3.519763469696045,0.0061152540147304535,20.0,6816.539296999999
1,post,1000,3.5521936416625977,0.0076316846534609795,20.0,6965.130692249997
1,post,2000,3.540170431137085,0.005704361945390701,20.0,7113.044876124997
1,post,3000,3.5373241901397705,0.006327497307211161,20.0,7269.246752916999
1,post,4000,3.5479204654693604,0.005977987311780453,20.0,7426.114248458998
1,post,5000,3.555171251296997,0.007602243684232235,20.0,7580.521811167
1,post,6000,3.548506021499634,0.006361436564475298,20.0,7739.516539583998
1,post,7000,3.540940999984741,0.004530589561909437,20.0,7898.810299125002
1,post,8000,3.5451273918151855,0.006564551033079624,20.0,8062.372759542002
1,post,9000,3.5562567710876465,0.005856480449438095,20.0,8213.322091084
1,post,10000,3.566896677017212,0.009062995202839375,20.0,8539.324428292002
1,post,11000,3.5974950790405273,0.007778945378959179,20.0,9018.597009583998
1,post,12000,3.5338079929351807,0.0061560263857245445,20.0,9360.623525792002
1,post,13000,3.5301592350006104,0.004663293249905109,20.0,9696.687503042001
1,post,14000,3.575762987136841,0.0071284715086221695,20.0,10093.327020292
1,post,15000,3.591693639755249,0.008296853862702847,20.0,10547.731837958996
1,post,16000,3.5846595764160156,0.006842439994215965,20.0,11030.344217875001
