seed,phase,update,revenue,ir_regret,gamma,elapsed_seconds
3,baseline,1,1.113882064819336,,,4.333208415999252
3,baseline,1000,2.9249281883239746,,,2280.5964688750028
3,baseline,2000,2.985466241836548,,,3358.237549000005
3,baseline,3000,3.003462791442871,,,4422.239174291004
3,baseline,4000,3.0029330253601074,,,5392.868368083
3,baseline,5000,3.0244951248168945,,,6973.294360833002
3,baseline,6000,3.002786159515381,,,7944.572075750002
3,baseline,7000,3.031697988510132,,,8926.31631825
3,baseline,8000,3.047880172729492,,,9701.621271166005
3,baseline,9000,3.0256266593933105,,,10647.950167666
3,baseline,10000,3.0287580490112305,,,11518.847161625003
3,baseline,11000,3.0383098125457764,,,13278.935999416004
3,baseline,12000,3.081618547439575,,,15267.706162875002
3,baseline,13000,3.0537924766540527,,,16905.099912208003
3,baseline,14000,3.0501842498779297,,,17787.441166333003
3,baseline,15000,3.0632500648498535,,,18611.382789250005
3,baseline,16000,3.067251205444336,,,19569.396487708
3,baseline,17000,3.0808682441711426,,,20555.830301833004
3,baseline,18000,3.052976608276367,,,21485.326488583
3,baseline,19000,2.9774458408355713,,,22307.266365708005
3,baseline,20000,3.0366158485412598,,,23655.391634208005
3,baseline,21000,3.0637874603271484,,,24574.278648583
3,baseline,22000,3.06362247467041,,,25396.945331916002
3,baseline,23000,3.0354812145233154,,,26156.827860541
3,baseline,24000,3.0778117179870605,,,26935.166580166006
3,baseline,25000,3.084181308746338,,,27746.899697458008
3,baseline,26000,3.0732789039611816,,,28543.494659375006
3,baseline,27000,3.085893154144287,,,29323.593665791006
3,baseline,28000,3.0727591514587402,,,30101.670360916003
3,baseline,29000,3.10308837890625,,,30953.797530458003
3,baseline,30000,3.0477635860443115,,,31780.263727083002
3,baseline,31000,3.1048219203948975,,,32618.828024375005
3,baseline,32000,3.066007614135742,,,33537.923395000005
3,mutual,1,1.2059040069580078,0.00040361113497056067,8.0,0.8201310830045259
3,mutual,1000,3.277548313140869,0.004020331427454948,17.634921630967167,891.7085555420053
3,mutual,2000,3.334141731262207,0.004308904986828566,20.0,1710.6131206249993
3,mutual,3000,3.4272830486297607,0.004531822167336941,20.0,2501.4512078749976
3,mutual,4000,3.4373433589935303,0.008085282519459724,20.0,3289.1356893750053
3,mutual,5000,3.4437003135681152,0.005320372059941292,20.0,4086.9247310420033
3,mutual,6000,3.470625877380371,0.00477606151252985,20.0,4880.735684583007
3,mutual,7000,3.4288229942321777,0.00387100363150239,20.0,5678.2377279580105
3,mutual,8000,3.5043087005615234,0.00619150884449482,20.0,6482.927843917001
3,mutual,9000,3.492764472961426,0.004704614169895649,20.0,7279.673374332997
3,mutual,10000,3.4731597900390625,0.005166268441826105,20.0,8064.956880124999
3,mutual,11000,3.546922206878662,0.00668329419568181,20.0,8868.226397708
3,mutual,12000,3.4979114532470703,0.004076676443219185,20.0,9649.913896500002
3,mutual,13000,3.5497560501098633,0.008608009666204453,20.0,10462.277494374997
3,mutual,14000,3.6071763038635254,0.009812897071242332,20.0,11269.979863625005
3,mutual,15000,3.532362937927246,0.006292810197919607,20.0,12024.572513792009
3,mutual,16000,3.537484645843506,0.004202837124466896,20.0,12765.988516625002
3,post,1,3.555555582046509,0.006696225143969059,20.0,12766.296844708006
3,post,1000,3.5496296882629395,0.006276934873312712,20.0,13084.314045667008
3,post,2000,3.56315016746521,0.006762777455151081,20.0,13402.503487042006
3,post,3000,3.588261365890503,0.006762291770428419,20.0,13718.656432375006
3,post,4000,3.5202877521514893,0.004375288262963295,20.0,14036.618628124997
3,post,5000,3.5360214710235596,0.0060983579605817795,20.0,14354.318615666998
3,post,6000,3.5519485473632812,0.0046567656099796295,20.0,14671.433997125001
3,post,7000,3.551034927368164,0.0069485558196902275,20.0,14994.323589958003
3,post,8000,3.5750274658203125,0.006737624295055866,20.0,15310.577223291999
3,post,9000,3.547924280166626,0.006091030780225992,20.0,15628.722734208
3,post,10000,3.574052572250366,0.00762201938778162,20.0,15949.264980708002
3,post,11000,3.54762601852417,0.0056252493523061275,20.0,16278.913006000002
3,post,12000,3.537391185760498,0.005267447326332331,20.0,16611.88269658301
3,post,13000,3.573554515838623,0.0067150103859603405,20.0,16942.930384875
3,post,14000,3.5739312171936035,0.008561004884541035,20.0,17276.210700917
3,post,15000,3.5765814781188965,0.006108026020228863,20.0,17608.086391457997
3,post,16000,3.5590736865997314,0.00551052438095212,20.0,17908.071083250004
