seed,phase,update,revenue,ir_regret,gamma,elapsed_seconds
4,baseline,1,1.113234043121338,,,3.8962498339969898
4,baseline,1000,2.968606948852539,,,2280.861955041997
4,baseline,2000,3.000352144241333,,,3350.7195850419957
4,baseline,3000,2.994993209838867,,,4411.684145208994
4,baseline,4000,3.006547689437866,,,5382.068251666999
4,baseline,5000,3.0405478477478027,,,6963.017027791997
4,baseline,6000,3.0626988410949707,,,7930.5769272089965
4,baseline,7000,3.0599372386932373,,,8914.818208083998
4,baseline,8000,3.03412127494812,,,9687.548299083996
4,baseline,9000,3.066577911376953,,,10632.302505542
4,baseline,10000,3.0696215629577637,,,11502.417393584
4,baseline,11000,3.0561699867248535,,,13234.239090958996
4,baseline,12000,3.0939769744873047,,,15220.095372416996
4,baseline,13000,3.0560519695281982,,,16890.676909625
4,baseline,14000,3.103778839111328,,,17770.268663999996
4,baseline,15000,3.091888427734375,,,18593.859929125
4,baseline,16000,3.079936981201172,,,19550.157699874995
4,baseline,17000,3.0637025833129883,,,20531.556981374997
4,baseline,18000,3.0941104888916016,,,21461.354165291996
4,baseline,19000,3.0967345237731934,,,22283.665125333995
4,baseline,20000,3.085278034210205,,,23630.165889459
4,baseline,21000,3.090160369873047,,,24550.392060667
4,baseline,22000,3.0943496227264404,,,25373.911167749997
4,baseline,23000,3.0919265747070312,,,26134.569668209
4,baseline,24000,3.0641367435455322,,,26910.611544583997
4,baseline,25000,3.0980286598205566,,,27719.95904237499
4,baseline,26000,3.079573631286621,,,28521.589376959004
4,baseline,27000,3.080557107925415,,,29299.849872499995
4,baseline,28000,3.0786030292510986,,,30081.068741166993
4,baseline,29000,3.0719733238220215,,,30925.948091375
4,baseline,30000,3.0768849849700928,,,31748.8761485
4,baseline,31000,3.091823101043701,,,32583.348909499997
4,baseline,32000,3.0908942222595215,,,33504.345188042
4,mutual,1,1.1164474487304688,0.00039987562922760844,8.0,0.965148749994114
4,mutual,1000,3.188443899154663,0.003252612194046378,16.54800089611895,897.6872574579902
4,mutual,2000,3.3144426345825195,0.003651504870504141,20.0,1710.5798950409953
4,mutual,3000,3.4861645698547363,0.006477338261902332,20.0,2500.9150952079945
4,mutual,4000,3.4255099296569824,0.004573817364871502,20.0,3286.9968148329936
4,mutual,5000,3.44245982170105,0.006808443460613489,20.0,4079.8896988329943
4,mutual,6000,3.456965923309326,0.0061892615631222725,20.0,4872.508000415997
4,mutual,7000,3.5202646255493164,0.007185511756688356,20.0,5668.770462
4,mutual,8000,3.470150947570801,0.004222394898533821,20.0,6469.941320999991
4,mutual,9000,3.4929521083831787,0.004950488451868296,20.0,7265.424624415988
4,mutual,10000,3.529315710067749,0.007036713883280754,20.0,8048.098129332997
4,mutual,11000,3.487077474594116,0.00673314044252038,20.0,8852.791435457999
4,mutual,12000,3.5237624645233154,0.005366513039916754,20.0,9636.146904665991
4,mutual,13000,3.53678560256958,0.0036178692243993282,20.0,10443.205989875001
4,mutual,14000,3.5489559173583984,0.006251881830394268,20.0,11253.324423707993
4,mutual,15000,3.492534875869751,0.005363929085433483,20.0,12008.31108595799
4,mutual,16000,3.526323080062866,0.0076013607904314995,20.0,12747.895658707988
4,post,1,3.510430335998535,0.004857144318521023,20.0,12748.214785082993
4,post,1000,3.5392298698425293,0.004727624356746674,20.0,13066.047785415998
4,post,2000,3.5421829223632812,0.005087997764348984,20.0,13383.834901208
4,post,3000,3.575637102127075,0.005657177418470383,20.0,13702.861944290999
4,post,4000,3.544663429260254,0.004609733819961548,20.0,14021.447519207999
4,post,5000,3.583667516708374,0.0050458344630897045,20.0,14340.361917666
4,post,6000,3.5587263107299805,0.005854341201484203,20.0,14659.980984625
4,post,7000,3.558353900909424,0.00593394273892045,20.0,14984.211524540995
4,post,8000,3.5805413722991943,0.007514861412346363,20.0,15301.916055040987
4,post,9000,3.5495877265930176,0.006012431345880032,20.0,15619.604367957989
4,post,10000,3.5820021629333496,0.006559624336659908,20.0,15939.00327224999
4,post,11000,3.5565342903137207,0.004322443623095751,20.0,16268.569250124987
4,post,12000,3.580434799194336,0.0052581350319087505,20.0,16602.843812207997
4,post,13000,3.5575039386749268,0.00334759708493948,20.0,16935.684835832988
4,post,14000,3.5779361724853516,0.00637818593531847,20.0,17268.51514920799
4,post,15000,3.6080806255340576,0.007586630992591381,20.0,17602.981992040994
4,post,16000,3.561123847961426,0.00505201518535614,20.0,17925.000986374987
